HEPES,HEPES_pH8.0,HEPES_pH7.4,HEPES_pH7.6,HEPES_pH7.8,HEPES_pH7.2,HEPES_pH7.0,MgCl2,CP,Bicarbonate,Formate,CoA,B12,ATP,NADPH,Pco,Ccr,Epi,Mcm,Scr,Ssr,Hbs,Hbd,Ecm,Mco,Mch,Mcl,KatE,Fdh,CA,Gor,CK,Well_Name_1,Well_Name_2,Well_Name_3,Value_1,Value_2,Value_3,yield,yield_std
50,1,0,0,0,0,0,20,60,2.5,2.5,0,0.1,7,7.5,2.2962,0.6167,6.7005,0.456225,9.590075,0.552,1.818,2.1357,2.8825,19.1639,1.9852,8.358,8.2065,7.28,0.0667,2.2094,3.13725,A1,A9,A17,316.2874,191.3151,248.1182,251.9069,62.57223528
175,0,0,0,0,0,1,15,60,60,0,0.25,0.2,7,1.25,0.287025,1.8501,2.978,0.91245,2.615475,1.656,11.2716,4.805325,0.5765,34.22125,2.2688,1.99,7.38585,13.104,0.16675,2.485575,3.13725,A2,A10,A18,205.6007,166.3691,182.7138,184.8945333,19.70650421
25,0,0,0,0,1,0,5,60,20,40,0.5,0.2,10,5,3.0616,0.30835,2.2335,1.2166,5.23095,4.968,26.9064,3.737475,1.44125,9.58195,0.8508,14.726,2.46195,1.456,0.050025,0.55235,3.13725,A3,A11,A19,105.0778,87.73332,89.2345,94.01520667,9.609844629
25,1,0,0,0,0,0,5,80,80,5,0.5,0.4,7,5,1.243775,0.6167,5.2115,1.52075,0.871825,2.76,6.1812,3.737475,2.01775,6.84425,1.1344,19.9,5.74455,13.104,0.03335,1.380875,1.17647,A4,A12,A20,52.06501,97.85316,56.85551,68.92456,25.16714418
50,0,1,0,0,0,0,7.5,5,2.5,2.5,3,0.1,9,1.25,5.3578,2.4668,2.2335,0.91245,13.077375,4.968,3.636,1.06785,0.86475,5.4754,0.5672,6.368,5.74455,5.824,0.16675,2.485575,0.78431,A5,A13,A21,24.623,33.26108,29.71071,29.19826333,4.341780477
175,0,0,0,0,0,1,17.5,0,60,2.5,0.5,0.4,8,2.5,3.0616,0.6167,2.2335,0.30415,5.23095,3.312,1.0908,3.737475,1.44125,19.1639,1.1344,1.99,0.82065,53.872,0.0667,1.380875,1.96078,A6,A14,A22,216.6262,223.2988,166.2625,202.0625,31.1827019
75,0,1,0,0,0,0,5,0,10,40,4,0,2,6.25,0.287025,0.6167,1.489,1.2166,6.9746,3.312,11.2716,3.20355,0.86475,4.10655,1.7016,3.582,1.6413,40.768,0.083375,2.485575,1.17647,A7,A15,A23,108.105,106.7986,108.7602,107.8879333,0.998652639
125,1,0,0,0,0,0,5,80,10,100,0.25,0.2,5,3.75,0.95675,2.4668,0.7445,0.6083,0.871825,4.416,6.1812,5.33925,0.5765,1.36885,0.8508,3.582,8.2065,40.768,0.16675,1.933225,0.39216,A8,A16,A24,68.29637,79.09519,70.76697,72.71951,5.657997675
125,0,1,0,0,0,0,22.5,10,40,20,5,0,9,7.5,0.95675,1.2334,4.467,0.152075,3.4873,3.312,2.5452,2.669625,2.59425,62.9671,1.418,1.99,7.38585,30.576,0.116725,2.2094,0.78431,B1,B9,B17,193.2805,221.6168,206.7378,207.2117,14.17409293
200,0,1,0,0,0,0,20,5,20,80,5,0,1,5,2.2962,2.15845,5.2115,2.889425,17.4365,1.656,1.0908,0.533925,0.28825,62.9671,2.2688,0.398,4.10325,30.576,0.1334,2.2094,2.35294,B2,B10,B18,67.53147,59.08667,66.22943,64.28252333,4.546591684
